roll;pitch;yaw;AccX;Number;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ;AccXNew;Random
2.32173308918;-1.79632014951;172.701589126;-11040;1;290;18776;-921;-6676;-57;24589;24587;16390;-7781;3259
-11.0585951388;-23.5581393783;-179.994757837;17726;2;-9229;2085;-5407;-8280;-2788;46;-38;-11;21215;3489
-16.9287346488;-24.1415602338;-179.334642538;5658;3;-9134;5910;63;-5045;-1537;39;-20;32767;7808;2150
-16.3917589336;-30.9006760683;-177.033801025;10533;4;-6078;19402;-440;-3922;-956;16391;-21;-24578;19409;8876
-21.5925980736;-41.0142651323;-168.169705625;4210;5;-5071;8693;-3308;-2418;140;-26;-21;-13;6441;2231
-24.9825306263;-37.822263862;-170.824199786;-310;6;-5692;2193;2149;-6437;-1267;-20;16386;24574;3828;4138
-19.2330719798;-31.7138699747;174.239820691;2213;7;-2856;20195;-1323;-3122;-1198;-31;32767;32766;9779;7566
-15.6997851191;-37.0557659823;178.634147412;6547;8;-2526;16215;-343;-5060;1482;-62;55;-24577;10162;3615
-14.778736333;-31.0423685297;177.588359809;-15515;9;4753;11869;-168;1860;1548;-108;53;-55;-10083;5432
-17.0037165164;-29.9658986682;161.887736461;-5096;10;-7986;19701;-531;-1689;-4712;-121;8196;-102;-1038;4058
-19.882828722;-21.0529944534;153.067172231;-22903;11;-3031;14744;-174;-351;-122;-113;8207;-179;-17199;5704
-23.261546202;-20.3473283843;151.925751215;-5483;12;-3595;1071;-889;-3583;-2907;-108;35;-192;4034;9517
-19.3641481576;-22.3848145058;152.364454756;-24514;13;3400;3149;-550;-5828;-866;-119;46;-177;-22294;2220
-21.930187138;-8.58623073403;158.40376362;-12749;14;-2244;8111;-946;921;736;24564;131;-251;-7060;5689
-22.810145912;-20.6039040465;155.167436982;-850;15;12772;-16897;-3470;-4485;-684;-8222;130;-234;6365;7215
-6.15364914932;-38.9083720206;150.520794752;-11309;16;3065;3360;4423;-17020;-7101;-107;25;-203;-5625;5684
-12.5722936347;-35.0821364122;151.192096283;-15873;17;-3593;6123;-2948;-5350;-1046;-59;93;-246;-7405;8468
-11.6692505788;-44.4278620164;147.580284132;-6473;18;9451;-15731;-2835;-4121;-1492;-64;114;-233;-4678;1795
10.4734313007;-59.3407598952;130.624814163;-10884;19;2266;2965;3307;-17908;-7189;-125;7;-164;-9256;1628
1.17834410171;-54.9243575482;135.23483111;-13890;20;-6190;10014;-2470;-4498;-535;-74;89;-229;-4240;9650
12.8495760098;-64.1117284157;121.016773749;-7563;21;11739;-17323;-3330;-3395;-727;-53;136;-227;-5199;2364
106.178083505;-69.8703965496;39.8452277908;-12570;22;10779;-9851;4200;-19067;-7993;-122;-16385;-131;-7791;4779
89.5257308988;-71.6116962914;42.5464497956;-10942;23;-7081;10885;-1766;-3720;-153;-108;8230;-187;-6630;4312
86.7072741564;-69.1962622163;42.5025507809;-10332;24;6284;-12291;-6082;4927;3007;-63;131;-232;-1336;8996
127.052179823;-52.7303739669;7.67833516354;-13163;25;8329;-17503;2080;-10816;-3294;-117;30;-162;-7244;5919
126.735616028;-46.6001814734;9.40490485173;-13697;26;-5682;11114;-472;-5612;-1334;-118;31;-162;-6280;7417
117.789490477;-43.0335961592;10.6200965528;-14790;27;1966;2140;-5784;1222;3294;-91;134;-195;-6298;8492
127.146468274;-25.692197674;3.67128292331;-15300;28;9068;-10999;-424;-6494;-1485;-111;78;-179;-12476;2824
128.576467637;-12.2851000535;4.58838808916;-10819;29;-5254;13553;1845;-8007;-3480;-123;21;-148;-6673;4146
118.054544085;-10.4194213335;-2.20343186432;-7334;30;-1670;8919;-5690;-3536;5698;-82;125;-167;-7140;194
